time,frequency
6.06441,0
6.06491,0
6.06541,0
6.06592,0
6.06642,0
6.06692,0
6.06742,0
6.06792,13740.7
6.06842,13762.1
6.06893,13834.3
6.06943,13846.5
6.06993,13871.7
6.07043,13824.1
6.07093,14090.9
6.07143,13904.4
6.07194,14004.7
6.07244,13965.4
6.07294,0
6.07344,0
6.07394,0
6.07444,39028.2
6.07495,38503
6.07545,38077.1
6.07595,37859.2
6.07645,37670.8
6.07695,37607.1
6.07746,35109.9
6.07796,34103.9
6.07846,33462.7
6.07896,31953.1
6.07946,30531
6.07996,29514.2
6.08047,28086.4
6.08097,26867.4
6.08147,25945.6
6.08197,25336.2
6.08247,24097.9
6.08297,23394.5
6.08348,22885.9
6.08398,22512.4
6.08448,22213.1
6.08498,22317.9
6.0854799999999996,22225.4
6.08599,20311.6
6.08649,20062.9
6.08699,19614.7
6.08749,19381.6
6.08799,19004.6
6.08849,18518.9
6.089,18214.4
6.0895,18012.6
6.09,17587.1
6.0905,17581.5
6.091,16131
6.0915,15876.8
6.09201,15684.1
6.09251,15424.3
6.09301,15332.8
6.09351,15143.3
6.09401,15005.1
6.09452,15009.7
6.09502,14776.5
6.09552,14565.2
6.09602,14533.8
6.09652,14436.2
6.09702,14417.4
6.09753,14404.9
6.09803,14311.8
6.09853,14174.1
6.09903,14101.9
6.09953,14017.5
6.10003,13884.6
6.10054,13771.9
6.10104,13699.1
6.10154,13595.5
6.10204,13576.5
6.10254,13461.8
6.10305,13449.3
6.10355,13298.4
6.10405,13227.2
6.10455,13159.5
6.10505,13035
6.10555,13049.9
6.10606,12972
6.10656,12998.2
6.10706,12935.1
6.10756,13016.9
6.10806,13027.1
6.10856,12561.8
6.10907,12363.4
6.10957,12338.9
6.11007,12187
6.11057,12199.2
6.11107,11895
6.11158,12037.8
6.11208,11965.7
6.11258,12101.4
6.11308,12113.2
6.11358,12279.1
6.11408,20006.4
6.11459,19966.1
6.11509,19814
6.11559,19742.3
6.11609,19725.4
6.11659,19595.3
6.11709,19602.9
6.1176,19650.1
6.1181,19503.3
6.1186,19475.4
6.1191,19440.5
6.1196,19389.5
6.12011,19354.6
6.12061,19263.6
6.12111,19195.1
6.12161,19189.4
6.12211,19076.2
6.12261,19072.7
6.12312,19074.2
6.12362,19042.7
6.12412,18929.9
6.12462,18896.8
6.12512,18817.4
6.12562,18775.9
6.12613,18746.4
6.12663,18700.4
6.12713,18593.8
6.12763,18577.8
6.12813,18519.8
6.12864,18471.3
6.12914,18423.3
6.12964,18328.3
6.13014,18381.8
6.13064,18224.4
6.13114,18255.9
